id,tag,question,options,correct_answer,type,font_size
1,第一组必答题,这里是第1组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
2,第一组必答题,这里是第1组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
3,第一组必答题,这里是第1组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
4,第二组必答题,这里是第2组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
5,第二组必答题,这里是第2组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
6,第二组必答题,这里是第2组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
7,第三组必答题,这里是第3组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
8,第三组必答题,这里是第3组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
9,第三组必答题,这里是第3组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
10,第四组必答题,这里是第4组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
11,第四组必答题,这里是第4组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
12,第四组必答题,这里是第4组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
13,第五组必答题,这里是第5组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
14,第五组必答题,这里是第5组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
15,第五组必答题,这里是第5组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
16,第六组必答题,这里是第6组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
17,第六组必答题,这里是第6组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
18,第六组必答题,这里是第6组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
19,第七组必答题,这里是第7组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
20,第七组必答题,这里是第7组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
21,第七组必答题,这里是第7组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
22,第八组必答题,这里是第8组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
23,第八组必答题,这里是第8组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
24,第八组必答题,这里是第8组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
25,第九组必答题,这里是第9组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
26,第九组必答题,这里是第9组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
27,第九组必答题,这里是第9组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
28,第十组必答题,这里是第10组必答题1,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
29,第十组必答题,这里是第10组必答题2,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
30,第十组必答题,这里是第10组必答题3,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,ABCD,多选,2.5
31,20分题,这里是20分题第 1 道,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
32,20分题,这里是20分题第 2 道,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
33,20分题,这里是20分题第 3 道,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
34,20分题,这里是20分题第 4 道,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,C,单选,2.5
35,20分题,这里是20分题第 5 道,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,B,单选,2.5
36,20分题,这里是20分题第 6 道,A、 选项 A|B、 选项 B|C、 选项 C|D、 选项 D|E、 选项 E|F、 选项 F|G、选项 G,AD,多选,2.5
